Color,Document name,Code,Weight score,Segment,Author,Creation date,Comment,Document group,Area,Coverage %,Beginning,End
●,36ecbplus2_10,Charges,0,Seven indictments,AnZhu,06-05-20 12:19,,,17,0.85,1,1
●,36ecbplus2_10,Charges,0,nine charges,AnZhu,06-05-20 12:20,,,12,0.6,1,1
●,36ecbplus2_10,Church\Church-Misc,0,six leaders of the Fundamentalist Church of Jesus Christ of Latter Day Saints,AnZhu,06-05-20 12:20,,,77,3.83,1,1
●,36ecbplus2_10,Church,0,the Fundamentalist Church of Jesus Christ of Latter Day Saints,AnZhu,06-05-20 12:20,,,62,3.09,1,1
●,36ecbplus2_10,Church\Jeffs,0,Polygamist prophet Warren Jeffs,AnZhu,06-05-20 12:20,,,31,1.54,2,2
●,36ecbplus2_10,Charges,0,charged again,AnZhu,06-05-20 12:20,,,13,0.65,2,2
●,36ecbplus2_10,Church\Jeffs,0,FLDS prophet Warren Jeffs,AnZhu,06-05-20 12:21,,,25,1.25,3,3
●,36ecbplus2_10,Charges,0,being an accomplice to the rape of a 14-year-old girl,AnZhu,06-05-20 12:21,,,53,2.64,3,3
●,36ecbplus2_10,Church\Jeffs,0,an accomplice to the rape of a 14-year-old girl,AnZhu,06-05-20 12:21,,,47,2.34,3,3
●,36ecbplus2_10,Charges,0,on similar charges,AnZhu,06-05-20 12:21,,,18,0.9,3,3
●,36ecbplus2_10,Church,0,The FLDS,AnZhu,06-05-20 12:21,,,8,0.4,4,4
●,36ecbplus2_10,Church\Church-Misc,0,"followers living in Bountiful, B.C.",AnZhu,06-05-20 12:22,,,35,1.74,4,4
●,36ecbplus2_10,USA,0,the RCMP,AnZhu,06-05-20 12:22,,,8,0.4,4,4
●,36ecbplus2_10,USA\USA-I,0,the B.C. attorney general,AnZhu,06-05-20 12:22,,,25,1.25,4,4
●,36ecbplus2_10,USA\USA-I\Prosecutors\Robertson,0,"A special prosecutor, Terry Robertson",AnZhu,06-05-20 12:22,,,37,1.84,4,4
●,36ecbplus2_10,Charges,0,charges,AnZhu,06-05-20 12:23,,,7,0.35,4,4
●,36ecbplus2_10,USA\USA-I,0,The Texas grand jury,AnZhu,06-05-20 12:23,,,20,1,5,5
